id;start_date;end_date;language
1;2019-09-18T09:07:19;2019-09-18T02:15:36;SPANISH
2;2019-09-18T10:37:25;2019-09-17T19:43:35;SPANISH
3;2019-09-18T06:09:29;2019-09-17T21:33:29;SPANISH
4;2019-09-17T19:21:20;2019-09-18T02:48:22;SPANISH
5;2019-09-18T04:19:59;2019-09-18T09:04:08;SPANISH
6;2019-09-18T10:37:00;2019-09-18T11:53:56;FRENCH
7;2019-09-17T19:59:20;2019-09-18T08:40:07;FRENCH
8;2019-09-17T17:30:39;2019-09-18T01:30:48;ENGLISH
9;2019-09-18T03:18:45;2019-09-18T11:43:23;SPANISH
10;2019-09-18T06:36:54;2019-09-18T03:53:09;ENGLISH
